VIN,Year,Make,Model,Trim,Price,Miles
4JGFB6BB9TB555510,2026,Mercedes-Benz,GLE,AMG GLE 53,98328,6
1V2HN2CA7TC544162,2026,Volkswagen,Atlas,SE w/Tech,44223,7
1C4PJXDN7TW248998,2026,Jeep,Wrangler 4-Door,Sport S,46457,16
3TMLB5JN1TM245020,2026,Toyota,Tacoma,Limited,52509,null
WP1AA2XA3TL000424,2026,Porsche,Macan,Base,100370,308
1C4RJFAG0DC542626,2013,Jeep,Grand Cherokee,Laredo,null,122949
5N1AZ2MH7HN105957,2017,Nissan,Murano,Platinum,15771,99655
1GTUUDED7SZ175420,2025,GMC,Sierra 1500,SLT,42739,51111
2T2AGCEZ2SC066496,2025,Lexus,NX,350,43488,15243
19UDE4H32TA015835,2026,Acura,Integra,A-Spec,37845,5
KMHRC8A39TU468064,2026,Hyundai,Venue,SEL,24665,5
1FA6P8CF6S5399691,2025,Ford,Mustang,GT Premium,59889,9
WP1BL2AY4TDA51366,2026,Porsche,Cayenne Coup,S,null,0
1V2KN2CA4TC573673,2026,Volkswagen,Atlas,SE w/Tech,43654,6
SALE27EU4T2633106,2026,Land Rover,Defender,X-Dynamic SE,91894,0
5XYRHDJF5TG467942,2026,Kia,Sorento,X-Line EX,41400,8
1FMJK1P86SEA78378,2025,Ford,Expedition,King Ranch,87990,3
2HKRW2H81HH613562,2017,Honda,CR-V,EX-L,14923,153465
3MW5R1J08L8B15291,2020,BMW,3 Series,330i,23995,43832
1FTVW3LK5SWG10432,2025,Ford,F-150 Lightning,XLT,40962,1809
3GNAXKEV0KL144855,2019,Chevrolet,Equinox,LT,15483,84706
KMHLP4DG8TU209597,2026,Hyundai,Elantra,Limited,26806,null
KM8RMES28TU061791,2026,Hyundai,Palisade,Calligraphy,55710,7702
4T1DBADK8TU21B344,2026,Toyota,Camry,XLE,36781,null
WA12AAGU7T2022410,2026,Audi,Q5,Premium Plus,59916,5
1C4RJHAR1TC258451,2026,Jeep,Grand Cherokee,Laredo,47592,null
SALYJ2EX3TA825216,2026,Land Rover,Range Rover Velar,S,70950,12
WD3PG2EA9H3205585,2017,Mercedes-Benz,Metris Cargo Van,Base,16293,null
3GCUKFEDXTG351783,2026,Chevrolet,Silverado 1500,LT Trail Boss,58756,9
1C6SRFLP2TN326309,2026,RAM,Ram 1500 Pickup,Rebel,65362,10
3GTUUGED9TG353055,2026,GMC,Sierra 1500,Denali,62750,1
5XYRLDJC1TG447479,2026,Kia,Sorento,S,36030,null
5NMJCCDE4TH716424,2026,Hyundai,Tucson,SEL Premium,36450,1
4T1K61AK2RU235529,2024,Toyota,Camry,XSE,26371,57515
4T1DAACK3TU651178,2026,Toyota,Camry,LE,31100,7217
19UDE4H22SA016490,2025,Acura,Integra,Base,27500,3182
1GKKNSLS4KZ171081,2019,GMC,Acadia,SLE-2,19932,87348
4S4SLDD64T3012141,2026,Subaru,Forester,Premium,33967,1846
W1N9M1DB8RN105813,2024,Mercedes-Benz,EQB,Base,40411,931
WUAPWAF59JA905292,2018,Audi,RS 5,Base,31700,81711
JTHFF2C29A2503533,2010,Lexus,IS,250,19900,64990
WA1GAAFY5P2118049,2023,Audi,Q5,Premium,30969,34392
1G1FW6S06P4206170,2023,Chevrolet,Bolt EV,LT,17988,38914
5TDACAB58TS19H015,2026,Toyota,Grand Highlander,XLE,55535,0
2T36CRAV2TW21H196,2026,Toyota,RAV4,Limited,46634,0
WBX73EF02T5607277,2026,BMW,X1,28i,50995,8
1C6SRFFT1TN329145,2026,RAM,Ram 1500 Pickup,Big Horn/Lone Star,55443,22
YV4M12RCXT1441198,2026,Volvo,XC60,Plus,57105,0
KM8JBDD19TU477110,2026,Hyundai,Tucson,SEL,35793,1
1C4RJHBR6TC203623,2026,Jeep,Grand Cherokee,Limited Reserve,49994,9
5UXCX4C51KLS38608,2019,BMW,X7,50i,40404,32203
1C6PJTAG5TL187433,2026,Jeep,Gladiator,Sport,42837,10
3FMCR9CN8TRE41891,2026,Ford,Bronco Sport,Outer Banks,38396,10
3FMCR9BN7TRE42659,2026,Ford,Bronco Sport,Big Bend,36333,5
1FMUK8DH1TGA60287,2026,Ford,Explorer,Active,44640,10
KL47LAEP0TB126993,2026,Buick,Envista,Preferred,26250,2643
KL47LBEP2TB153473,2026,Buick,Envista,Sport Touring,30916,2
5LMJJ2LG6TEL06612,2026,Lincoln,Navigator,Reserve,99228,2500
KNAG64J70T5447920,2026,Kia,K5,GT-Line,30830,13
19XFL1H8XPE009064,2023,Honda,Civic Hatchback,Sport Touring,25895,56216
1G4GC5EG7AF280809,2010,Buick,LaCrosse,CXL,8753,101484
3C4NJDDN3ST533062,2025,Jeep,Compass,Trailhawk,26995,30722
KL77LFEP0SC125531,2025,Chevrolet,Trax,LS,22670,10187
5FNRL6H78TB005696,2026,Honda,Odyssey,Sport L,41955,null
5J8TC2H64TL018322,2026,Acura,RDX,A-Spec Package,52750,10
1C6RJTEG3TL162730,2026,Jeep,Gladiator,Mojave,null,null
4JGDA5JB9HA952654,2017,Mercedes-Benz,GLE-Class,GLE350,12962,116110
3C4NJDDB5NT193097,2022,Jeep,Compass,Trailhawk,23719,43446
1C4HJXEN5KW618976,2019,Jeep,Wrangler Unlimited,Sahara,21873,87475
3VWBW7BU1TM026332,2026,Volkswagen,Jetta,Sport,25718,2
5N1AZ2MS2KN129912,2019,Nissan,Murano,S,16795,77610
4JGFB5KB0TB544566,2026,Mercedes-Benz,GLE,GLE450,71163,4328
3N1AB9DV3TY228337,2026,Nissan,Sentra,SR,30305,16
JM3KMBHA5T0120345,2026,Mazda,CX-5,S Select,34762,5
1V2LC2CA5TC200779,2026,Volkswagen,Atlas Cross Sport,SE,42276,10
3C4PJMC29TT226352,2026,Jeep,Cherokee,Overland,47080,null
1GNEVKKW6LJ172706,2020,Chevrolet,Traverse,Premier,28995,54214
3N1CP5BV2PL495333,2023,Nissan,Kicks,S,14729,80915
3VVBR7RM3SM070879,2025,Volkswagen,Tiguan,S,27311,5982
KL77LHEP1TC122117,2026,Chevrolet,Trax,LT,24420,2
1GKENPRS6SJ224184,2025,GMC,Acadia,AT4,47750,11
1C4RJHAR4TC253020,2026,Jeep,Grand Cherokee,Laredo,43383,10
3GNAXTEG3TL503690,2026,Chevrolet,Equinox,RS,37305,0
JF2GTHSC4MH209133,2021,Subaru,Crosstrek,Sport,20364,75681
5N1DR3DJ7RC314988,2024,Nissan,Pathfinder,Platinum,34746,18669
3CZRZ2H30SM704040,2025,Honda,HR-V,LX,23000,38391
5GAEVAKS0TJ315599,2026,Buick,Enclave,Preferred,50352,0
1C4PJXDN3TW241398,2026,Jeep,Wrangler 4-Door,Sport,41312,8
KMHLL4DG4TU220124,2026,Hyundai,Elantra,SE,24110,null
5N1DR3DK6TC242682,2026,Nissan,Pathfinder,Platinum,46586,10
7FARS6H82TE127079,2026,Honda,CR-V,Sport-L,42507,6
4JGFB4FB3TB606692,2026,Mercedes-Benz,GLE,GLE350,70158,7
5N1BT3BA7TC817911,2026,Nissan,Rogue,SV,28500,1
3C4NJDBN3TT235860,2026,Jeep,Compass,Altitude,34300,null
KM8J3CA48LU172008,2020,Hyundai,Tucson,Value,15490,92249
1FTFX1E56LKD59314,2020,Ford,F-150,XLT,35999,52082
5TDXSKFC5TS23C069,2026,Toyota,Sienna,XSE,52308,0
2T2AGCEZ1TC115043,2026,Lexus,NX,350,49353,1
WP1AA2A5XTLB10997,2026,Porsche,Macan,null,85230,15
1FMUK8KH6TGA43195,2026,Ford,Explorer,ST-LINE,48435,12
5FNYG1H88TB016614,2026,Honda,Pilot,Elite,56112,20
WAUU2BF22NN027854,2022,Audi,A7,Premium Plus,37499,49295
1FADP3K23GL206392,2016,Ford,Focus,SE,8990,71191
4S4GUHF61S3743213,2025,Subaru,Crosstrek,Sport,29310,3709
3VVMR7RMXSM032817,2025,Volkswagen,Tiguan,SE,30991,8987
1C4RJHAG2TC236893,2026,Jeep,Grand Cherokee,Laredo,44218,12
1FTFW3L81TFA05687,2026,Ford,F-150,XLT,58208,48
3VVVC7B20TM069438,2026,Volkswagen,Taos,SE,31071,12
WVW3E7CD4TW221799,2026,Volkswagen,Golf GTI,SE,40047,26
KNDCP3LE0T5366758,2026,Kia,Niro,LX,29505,5
5XYRHDJF3TG453845,2026,Kia,Sorento,X-Line EX,41413,13
JF2GUSND4T8237110,2026,Subaru,Crosstrek,Limited,36639,null
3N8AP6CE1TL406066,2026,Nissan,KICKS,SV,26024,7
1FMEE9BP3TLA67521,2026,Ford,Bronco 4-Door,Badlands,61678,5
1GCUYDED6LZ300137,2020,Chevrolet,Silverado 1500,LT,20495,153081
ZACCJBBB7HPG32617,2017,Jeep,Renegade,Latitude,10977,110669
3VWBW7BU0TM040982,2026,Volkswagen,Jetta,Sport,25109,10
7SVAAABA8TX094692,2026,Toyota,Sequoia,TRD Pro,86064,0
3CZRZ2H55TM764138,2026,Honda,HR-V,Sport,32117,0
KMUHCESB7TU342285,2026,GENESIS,GV80,Prestige,76625,18
1FMEE8BP5TLA79843,2026,Ford,Bronco 4-Door,Outer Banks,54606,3
5FNRL6H6XTB060190,2026,Honda,Odyssey,EX-L,44745,5
YV4H60JE4T1530463,2026,Volvo,XC90,Plus,81760,0
7YAKPDDCXTY060432,2026,Hyundai,IONIQ 5,XRT,48627,1
JTDACACU8T3076987,2026,Toyota,Prius Plug-in Hybrid,XSE Premium,44719,null
3GCPDBEK5PG197276,2023,Chevrolet,Silverado 1500,Custom,36977,18003
YV4M12RC1S1183040,2025,Volvo,XC60,Plus,41900,18149
1GYKPHRS1RZ700782,2024,Cadillac,XT6,Sport,42746,47013
1C4PJMCB4JD603219,2018,Jeep,Cherokee,Tech Connect,11811,119144
JM3KKBHD6S1194446,2025,Mazda,CX-90,Preferred Package,31990,34860
1FMDE7BH5TLA78786,2026,Ford,Bronco 4-Door,Big Bend,46163,10
YV4062PE6T1501367,2026,Volvo,XC90,Plus,71495,0
1GCPTDEK6T1110864,2026,Chevrolet,Colorado,Z71,43283,6036
KNDNC5KAXT6154376,2026,Kia,Carnival,EX,44445,5
3C4NJDCB8NT237188,2022,Jeep,Compass,(RED) Edition,23118,36223
KMHD84LF6KU775363,2019,Hyundai,Elantra,SEL,8500,105409
3GNKDBRJ2RS258747,2024,Chevrolet,Blazer EV,LT,23524,25324
W1NWM0ABXSX040104,2025,Mercedes-Benz,G-Class,G580,160411,9378
1FMUK8DH2TGB50628,2026,Ford,Explorer,Active,43320,12
5N1BT3BB3TC799268,2026,Nissan,Rogue,SV,29615,3
1FMCU9GN3TUA46079,2026,Ford,Escape,Active,31845,0
WBY53EJ00TCX59001,2026,BMW,i7,60,135202,12
5LM5J7XC4TGL10152,2026,Lincoln,Aviator,Reserve,82415,null
3C6UR5ELXRG268982,2024,RAM,Ram 2500 Pickup,Rebel,71408,13145
ML32AUHJ3MH012213,2021,Mitsubishi,Mirage,ES,10891,65885
3VV2C7B21SM067120,2025,Volkswagen,Taos,SE Black,27642,52
5XYPLESA4VG017491,2027,Kia,Telluride,X-Line SX Prestige,60980,10
1FMWK8GC3TGB72680,2026,Ford,Explorer,ST,55512,0
LRBFZMR48TD028315,2026,Buick,Envision,Preferred,43449,3
1GKS2CKL5TR295631,2026,GMC,Yukon,AT4,94235,5
JF2SKAMC6RH503111,2024,Subaru,Forester,Touring,31167,35690
WA1LCBF77PD016553,2023,Audi,Q7,Premium Plus,42222,16577
5NMJFCAE1PH284716,2023,Hyundai,Tucson,SEL,24252,22169
3VVMR7RM5TM098452,2026,Volkswagen,Tiguan,SE,34538,7
5XYRLDJC0TG429796,2026,Kia,Sorento,S,35187,10
1FTFW3L87RKD70438,2024,Ford,F-150,XLT,42991,30080
5FPYK3F50TB012695,2026,Honda,Ridgeline,RTL,42627,11
W1K5J4HB0SN512370,2025,Mercedes-Benz,CLA,CLA 250,32908,39089
JF2BUPED7TY505624,2026,Subaru,Outback,Touring,47824,null
YV4M12RM7T1389621,2026,Volvo,XC60,Ultra,62935,null
5TDXSKFC0TS19B575,2026,Toyota,Sienna,XSE,50800,0
W1N4M4HB6TW466285,2026,Mercedes-Benz,GLB,GLB 250,54278,0
1V2BR2CA5PC512228,2023,Volkswagen,Atlas,SEL,31488,30066
4JGFF5KE4TB514324,2026,Mercedes-Benz,GLS,Base,78999,3743
1GNS6TKLXTR269842,2026,Chevrolet,Tahoe,High Country,92080,0
1FTFW3L53TFA37191,2026,Ford,F-150,XLT,58296,null
1FTBW3X80TKA22335,2026,Ford,Transit Van,Base,53755,3
1N6ED1EK6TN627218,2026,Nissan,Frontier,SV,39016,null
3FMCR9GN1SRF28041,2025,Ford,Bronco Sport,Heritage,35455,10
3MVDMBCL3TM141149,2026,Mazda,CX-30,Carbon Edition,31065,1
KMHLM4DG2TU240661,2026,Hyundai,Elantra,SEL Sport,25555,0
1C4RJYB64N8761952,2022,Jeep,Grand Cherokee,4xe,25750,36616
4JGDA2EBXEA399758,2014,Mercedes-Benz,M-Class,ML350,13308,140027
5NMP3DG17TH118787,2026,Hyundai,Santa Fe,Limited,45985,14
1FMCU9MN1TUA35618,2026,Ford,Escape,ST-Line,30312,1696
1HGCY1F26TA025232,2026,Honda,Accord,LX,28397,8
5NMP1DGL6TH193648,2026,Hyundai,Santa Fe,SE,35499,8
WP1BA2AY6TDA37541,2026,Porsche,Cayenne Coup,Base,122520,14
5TDAAAB50RS045868,2024,Toyota,Grand Highlander,Platinum,53998,32570
1HGCY2F84SA081467,2025,Honda,Accord,Hybrid Touring,35335,null
3C4PJMB27TT222477,2026,Jeep,Cherokee,Laredo,35992,457
KM8RKES22TU066815,2026,Hyundai,Palisade,Limited,51476,18
5NMP5DGL2TH190363,2026,Hyundai,Santa Fe,Calligraphy,50435,10
2T3J1RFV4LC089310,2020,Toyota,RAV4,TRD Off-Road,27121,68358
3TYJDAHN7RT003734,2024,Toyota,Tacoma,SR,26533,25394
3GNKDCRM4TS131490,2026,Chevrolet,Blazer EV,RS,52812,1
5NMP5DGL8TH185569,2026,Hyundai,Santa Fe,Calligraphy,47879,10
5XYK33DF6TG434017,2026,Kia,Sportage,EX,32108,10
3FMCR9BN8TRE60541,2026,Ford,Bronco Sport,Big Bend,35815,9
3C4PJMB27TT220616,2026,Jeep,Cherokee,Laredo,40485,369
KL47LCEP7TB127604,2026,Buick,Envista,Avenir,31127,3
1GCZGHF78S1255711,2025,Chevrolet,Express Cargo,Work Van,50429,4
1C4RJXSJ4TW225476,2026,Jeep,Wrangler 4-Door,Moab 392,79501,15
WMZ23GA06T7V29732,2026,MINI,Countryman,S,45137,7
1FMCU0HD7JUA70836,2018,Ford,Escape,SEL,14463,59237
5UX53GP0XT9177777,2026,BMW,X3,30,49369,5557
1C4RJXP63SW583722,2025,Jeep,Wrangler 4xe,Sahara 4XE,31766,12247
1FMUK8HH3SGA01721,2025,Ford,Explorer,Platinum,48407,11850
KNAG24J73T5487355,2026,Kia,K5,LXS,28063,6
WP0AA2Y18TSA10216,2026,Porsche,Taycan,Base,135922,0
7MUAAAAG7TV20A632,2026,Toyota,Corolla Cross,L,26415,null
JF2BUPAD1TY524305,2026,Subaru,Outback,Premium,38088,0
5TDADAB58TS22G011,2026,Toyota,Grand Highlander,Limited,62408,null
1FTBR2Y83RKB02057,2024,Ford,Transit Van,Base,36524,14591
JTJAAAABXPA015128,2023,Lexus,RZ,Luxury,36495,18849
WP0AG2YA0TL070707,2026,Porsche,Panamera,GTS,198972,0
5UX43EU01T9421451,2026,BMW,X5,50e,88900,5
3GNAXTEGXTL459087,2026,Chevrolet,Equinox,RS,37136,2
2T2GKCEZ7TC20A840,2026,Lexus,NX Hybrid,350h,54214,0
3C4PJMB28TT219300,2026,Jeep,Cherokee,Laredo,35606,10
1GC4KPE74TF287841,2026,Chevrolet,Silverado 2500HD,LTZ,69794,null
3C4NJDDB9NT203629,2022,Jeep,Compass,Trailhawk,23922,27912
4T1F31AKXPU618223,2023,Toyota,Camry,XLE,30900,26145
1FMEE7BH2SLB74992,2025,Ford,Bronco 4-Door,Big Bend,49299,9
3CZRZ2H50VM703525,2027,Honda,HR-V,Sport,31805,null
1FTVW3LK3SWG33613,2025,Ford,F-150 Lightning,XLT,50363,12
KNAG64J72T5451886,2026,Kia,K5,GT-Line,32815,10
7FARS6H83TE077101,2026,Honda,CR-V,Sport-L,42087,0
WA1VWBF74TD000403,2026,Audi,SQ7,Prestige,107161,15
1C4PJXDG6TW239176,2026,Jeep,Wrangler 4-Door,Sport S,47380,11
KM8JBDD2XTU480557,2026,Hyundai,Tucson,SEL,41188,0
5NMP3DG1XTH085641,2026,Hyundai,Santa Fe,Limited,42055,4820
W1NKM8HB6RF211529,2024,Mercedes-Benz,GLC,AMG GLC43,49190,12900
W1NKM4HB1TU107560,2026,Mercedes-Benz,GLC,Base,50368,4468
5J8TC2H52TL021775,2026,Acura,RDX,Technology Package,49750,5
2GC4KME71T1193132,2026,Chevrolet,Silverado 2500HD,Custom,60332,0
5FPYK3F57TB026741,2026,Honda,Ridgeline,RTL,42815,8
1C4PJXDG0TW252960,2026,Jeep,Wrangler 4-Door,Willys,53825,8
3FMCR9CN9SRF40220,2025,Ford,Bronco Sport,Outer Banks,37805,5734
5UX23EU00T9380804,2026,BMW,X5,40i,78577,null
1FT8X3BN9TEC64687,2026,Ford,F-350 Super Duty,XL,59011,7
2GC4KNE76T1193861,2026,Chevrolet,Silverado 2500HD,LT,70185,0
JTHGZ1E2XT5046591,2026,Lexus,IS,350 F SPORT,58342,10
3C4NJDCN3TT194824,2026,Jeep,Compass,Limited,38156,12
WP0AA2A95TS206272,2026,Porsche,911,null,178170,14
KNDPVDDGXT7367062,2026,Kia,Sportage,X-Line Hybrid,35760,9
1FTEW1EP7PFA80839,2023,Ford,F-150,XLT,42412,28643
5J8YE1H84TL029168,2026,Acura,MDX,Advance Package,68950,10
1FT8W3BT7TEC61109,2026,Ford,F-350 Super Duty,Lariat,82420,15
3VW7W7BU9TM045734,2026,Volkswagen,Jetta,SE,26506,6
1N6ED1EK9TN657782,2026,Nissan,Frontier,SV,38806,3
19UDE4H67TA002914,2026,Acura,Integra,A-Spec with Tech Package,40995,10
1C4PJXDN5TW202103,2026,Jeep,Wrangler 4-Door,Sport,42838,16
3CZRZ2H33RM760760,2024,Honda,HR-V,LX,23425,30825
3N8AP6CB0TL413225,2026,Nissan,KICKS,SV AWD,null,null
5NMP1DG12TH117696,2026,Hyundai,Santa Fe,SE,39438,17
YV4062PE0T1504832,2026,Volvo,XC90,Plus,67905,null
1FMWK8GC5TGB68064,2026,Ford,Explorer,ST,56824,3
JF2BUPDD4TY531454,2026,Subaru,Outback,Limited,44804,null
5FPYK3F56TB023622,2026,Honda,Ridgeline,RTL,45090,0
5NMMADTB4RH003175,2024,GENESIS,GV70,Standard,38514,39719
3FMTK3SU2PMA22206,2023,Ford,Mustang Mach-E,Premium AWD,32108,32731
1GYKPWRL5RZ138267,2024,Cadillac,LYRIQ,Sport 3,47635,5138
5J6RW2H53HL010124,2017,Honda,CR-V,EX,14841,140332
1C6JJTEG9PL576940,2023,Jeep,Gladiator,Mojave,41276,24329
1FTFW7LD1RFA80242,2024,Ford,F-150,Platinum,60962,24641
JF2BUPDD5TY526327,2026,Subaru,Outback,Limited,null,4
3VVVC7B22TM057677,2026,Volkswagen,Taos,SE,34641,10
5UX53GP02T9149407,2026,BMW,X3,30,58915,4993
1V2KC2CA2TC223805,2026,Volkswagen,Atlas Cross Sport,SE w/Tech,42831,1
2T36CRAV5TW039103,2026,Toyota,RAV4,Limited,46929,0
KL47LBEP1TB149964,2026,Buick,Envista,Sport Touring,27564,2000
JF2GUSGD0T8254421,2026,Subaru,Crosstrek,Sport,36457,1
3C6SRFFP9T4150249,2026,RAM,Ram 1500 Pickup,Big Horn/Lone Star,55107,37
3C6RRFGGXT4187307,2026,RAM,Ram 1500 Pickup,Express,46332,3
1V2LE2CA4SC222491,2025,Volkswagen,Atlas Cross Sport,SE,33368,9385
KM8RMES2XTU044801,2026,Hyundai,Palisade,Calligraphy,53413,2226
1C4RJHBR6TC243443,2026,Jeep,Grand Cherokee,Limited Reserve,47593,10
3FMCR9BN0TRE20034,2026,Ford,Bronco Sport,Big Bend,36324,null
3VVMR7RM3TM082136,2026,Volkswagen,Tiguan,SE,34882,7
5NMP3DGL5TH202348,2026,Hyundai,Santa Fe,XRT,40750,15
3N1AB9DV2TY217443,2026,Nissan,Sentra,SR,26025,7
1G1FY6EV3VF104702,2027,Chevrolet,Bolt,LT,31031,255
1FTBF2BA0TEC87890,2026,Ford,F-250 Super Duty,XL,49386,12
5NMP1DGL5TH159538,2026,Hyundai,Santa Fe,SE,36335,62
3GNAXHEG3TL504268,2026,Chevrolet,Equinox,LT,31890,null
3GNAXUEV7NL313138,2022,Chevrolet,Equinox,LT,20650,null
5N1AL1FS5TC342553,2026,INFINITI,QX60,LUXE,47405,4913
W1NKM4HB2SU081114,2025,Mercedes-Benz,GLC,Base,50411,4811
WP0AA2YA9TL005310,2026,Porsche,Panamera,Base,139092,0
WBA53FJ03TCX19662,2026,BMW,5 Series,530i,74015,4
3C4PJMB20TT238536,2026,Jeep,Cherokee,Laredo,40320,12
3FTTW8BAXTRA04898,2026,Ford,Maverick,XL,29927,2288
WAU2BCFU5SN036624,2025,Audi,New A5,Premium Plus,49042,5514
2C4RC1BG8RR144400,2024,Chrysler,Pacifica,Touring L,25962,61700
4JGFB4FB7TB497427,2026,Mercedes-Benz,GLE,GLE350,59905,7102
5J8TC2H86TL019103,2026,Acura,RDX,A-Spec w/ Advance Package,56900,5
KL47LCEP3TB193521,2026,Buick,Envista,Avenir,30726,5
1GNERGKS1TJ348236,2026,Chevrolet,Traverse,LT,45684,7
1FDUF4HN0TDA12763,2026,Ford,F-450 Super Duty Chassis Cab,XL,60992,0
7FARS6H91TE124389,2026,Honda,CR-V,Sport Touring,41368,10
5TDDW5G1XES092394,2014,Toyota,Sequoia,Platinum,29774,98465
1FMCU0E13SUA08359,2025,Ford,Escape Plug-in hybrid,PHEV,25412,12413
WA1GAAFY8N2071841,2022,Audi,Q5,Premium,27995,40518
KM8RJES2XTU045150,2026,Hyundai,Palisade,XRT Pro,46848,5599
KNDEUCAA5T7932502,2026,Kia,Seltos,S,28931,9
5N1BT3BB6TC769732,2026,Nissan,Rogue,Rock Creek,34201,7
LRBFZSR4XTD032726,2026,Buick,Envision,Avenir,51570,3
1FMCU9MN1TUA12887,2026,Ford,Escape,ST-Line,38515,5
4S4WMALD5T3426591,2026,Subaru,Ascent,Onyx Edition-Touring,54770,null
3N8AP6CB7TL409561,2026,Nissan,KICKS,SV AWD,27517,1
1GNSKGKL2RR153949,2024,Chevrolet,Suburban,High Country,72720,15208
1C4PJXDN9TW296731,2026,Jeep,Wrangler 4-Door,Willys,48233,0
3KPFW4DE9TE296718,2026,Kia,K4,GT-Line,28508,3400
JM1BPAAL9T1882867,2026,Mazda,Mazda3,S,25887,0
SCCLEJAX6THB10882,2026,Lotus,Emira,null,121100,11
3KPFU4DE5TE298276,2026,Kia,K4,EX,25505,9
5FPYK3F84TB021605,2026,Honda,Ridgeline,Black Edition,null,null
1C6SRFJT8TN360836,2026,RAM,Ram 1500 Pickup,Laramie,60568,10
1FADP3F24HL294672,2017,Ford,Focus,SE,null,68372
3KPFT4DE8TE338482,2026,Kia,K4,LXS,null,1
KNDNE5K31T6626525,2026,Kia,Carnival,SX,46940,11
JF2BUPDD7TY496683,2026,Subaru,Outback,Limited,41383,null
KM8RLES21TU060887,2026,Hyundai,Palisade,SEL,44457,2
1FM5K8AB8TGB63159,2026,Ford,Explorer,Utility Police Interceptor,50905,10
3FTTW8BA9SRB37358,2025,Ford,Maverick,XL,27721,0
1GYKPFRS0SZ101253,2025,Cadillac,XT6,Premium Luxury,53428,25922
4JGFB5KB5PA948135,2023,Mercedes-Benz,GLE,GLE450,49655,33513
WBA13FK01TCW31514,2026,BMW,5 Series,550e,72878,1535
3C6TR5EJ3TG162097,2026,RAM,Ram 2500 Pickup,Power Wagon,73447,0
JF2BURJD9TY526461,2026,Subaru,Outback,Touring,50525,10
1HGCY1F26TA019818,2026,Honda,Accord,LX,28829,4
WBX73EF0XT5539293,2026,BMW,X1,28i,53792,3
3GKALUEG3TL497842,2026,GMC,Terrain,Elevation,36978,1
1FMUK8KH6TGB35391,2026,Ford,Explorer,ST-LINE,48714,12
4S4WMAHD1T3409554,2026,Subaru,Ascent,Limited Bronze Edition,51583,4
3GNAXPEGXTL489312,2026,Chevrolet,Equinox,LT,34845,5
KM8HCCAB4RU061543,2024,Hyundai,Kona,SEL,23808,4311
YV4A22PL2N1824509,2022,Volvo,XC90,Inscription,26495,89504
3FMTK3SU8TMA06537,2026,Ford,Mustang Mach-E,Premium AWD,51152,0
4T1DAACKXTU23G413,2026,Toyota,Camry,XLE,34742,0
1FMDE6AH5TLA92702,2026,Ford,Bronco 2-Door,Base,44285,null
3FMCR9GN0SRF46532,2025,Ford,Bronco Sport,Heritage,33343,36
1FTBR2YG7SKB31610,2025,Ford,Transit Van,Base,49990,3
WA15AAGU6T2030396,2026,Audi,Q5,Premium Plus,62132,0
1C6SRFFT6PN651432,2023,RAM,Ram 1500 Pickup,Big Horn/Lone Star,34746,58080
KNMAT2MT3LP537436,2020,Nissan,Rogue,S,14136,110527
WBX13EF00T5411991,2026,BMW,X1,M35i,null,null
3MVDMBBM5SM836581,2025,Mazda,CX-30,Select Sport,25387,9
JM3KKEHC2R1161415,2024,Mazda,CX-90,Turbo S Premium Plus Package,41826,17145
4T1DAACK1TU21E686,2026,Toyota,Camry,SE,33162,0
1FTBR2C85TKA39252,2026,Ford,Transit Van,Base,58546,8
1HGCY2F58TA002308,2026,Honda,Accord,Hybrid Sport,35822,4
19UDE4H6XTA008285,2026,Acura,Integra,A-Spec with Tech Package,41095,4
1GNERGKS8TJ343289,2026,Chevrolet,Traverse,LT,41023,2
1FMUK8DH2TGB42321,2026,Ford,Explorer,Active,38434,3
5N1DR2MM7HC616235,2017,Nissan,Pathfinder,SV,13904,68893
WA1CNAFY1J2117216,2018,Audi,Q5,Prestige,26408,39497
5NMS2DAJ5NH396631,2022,Hyundai,Santa Fe,SEL,16871,94072
SAL1L9FU8TA618989,2026,Land Rover,Range Rover Sport,Dynamic SE,102810,113
1FMWK8GC7TGB90079,2026,Ford,Explorer,ST,57895,10
4S4GUHU63T3759630,2026,Subaru,Crosstrek,Wilderness,38669,null
4S4GUHM62T3780517,2026,Subaru,Crosstrek,Limited,34848,null
LRBFZSR4XTD010693,2026,Buick,Envision,Avenir,49250,2000
JN8BT3DD1TW485544,2026,Nissan,Rogue,Platinum,36529,6
1GCPTEEK2T1229937,2026,Chevrolet,Colorado,Trail Boss,38755,6
KNDPVDDGXT7336782,2026,Kia,Sportage,EX Hybrid,35250,5
WBS43AZ00PCM84643,2023,BMW,M4 Coupe,Base,84995,6682
5UX23EM05T9311865,2026,BMW,X7,40i,87000,5
2T36CRAV5TC22J434,2026,Toyota,RAV4,LE,35394,0
KNDRKDJG3T5439009,2026,Kia,Sorento,SX Prestige Hybrid,44725,15
5XYRLDJC8TG458379,2026,Kia,Sorento,S,37490,12
3GNAXHEG6TL505527,2026,Chevrolet,Equinox,LT,31120,null
1FMEE0RR8SLB74128,2025,Ford,Bronco 4-Door,Raptor,83490,4
W1Y5NDHY0TT614246,2026,Mercedes-Benz,Sprinter Cargo Van,Base,79244,6
WMW23GD00T2Y71974,2026,MINI,Hardtop 2 Door,S,40335,null
5XYRHDJF6TG465469,2026,Kia,Sorento,EX,39665,8
JM3KKBHD8S1255277,2025,Mazda,CX-90,Preferred Package,33959,1580
5XYK6CAF0PG132708,2023,Kia,Sportage,X-Line,27144,17749
